time,CPI,wage,return of equity,10 year,3 month
2014/11/15,-0.001641062,0.003771105,5.691608912,2.369,0.02
2014/12/15,-0.00335917,0.001276565,3.745775767,2.244,0.04
2015/1/15,-0.00638575,0.000383142,2.275895278,2.234,0.02
2015/2/15,0.001962086,0.003281871,0.201925786,2.139,0.02
2015/3/15,0.001886031,0.001777076,6.757197714,2.016,0.03
2015/4/15,0.00143306,0.00683289,-0.695053013,1.975,0.01
2015/5/15,0.002874719,0.00569676,4.399578383,2.02,0.01
2015/6/15,0.002309225,0.003724419,2.213165409,2.136,0.01
2015/7/15,0.001309898,0.003115869,0.465265777,2.183,0.08
2015/8/15,-0.000130398,0.002977303,3.072577331,2.13,0.08
2015/9/15,-0.000900283,0.001529209,-6.489146251,2.029,-0.01
2015/10/15,0.001936932,0.003862094,2.810939468,2.008,0.08
2015/11/15,0.001483511,0.002409315,11.47834007,2.031,0.22
2015/12/15,-0.001095249,0.003340708,2.05251111,2.229,0.16
2016/1/15,0.000277263,0.000209688,-0.591266176,2.254,0.32
2016/2/15,-0.001679917,-0.001143511,-2.815610047,2.195,0.33
2016/3/15,0.000896061,0.002677606,4.269405068,1.657,0.21
2016/4/15,0.004077001,0.003907365,6.93316956,1.65,0.22
2016/5/15,0.002176734,0.001705978,2.587313946,1.661,0.34
2016/6/15,0.002159475,0.001848149,3.019985683,1.658,0.26
